fold,micro_f1,macro_f1,AP_Immune,AP_Energy,AP_Sleep/Calm,AP_Cognitive/Focus,AP_Joint/Bone,AP_Heart/Cardio,AP_Digestive/Gut,AP_Men’s/Women’s,AP_Sports/Performance,AP_General Wellness
1,0.6697635135135135,0.44921674045669785,0.5101020854274996,0.43421774926494433,0.5089916540228034,0.4222857093768178,0.6039466538091122,0.41217654923916625,0.5258016326054271,0.891039534942226,0.5774667832352334,0.35812394484503096
2,0.6359318008312834,0.4167932515411505,0.4742160683235431,0.453511685788192,0.41355662536593557,0.363826701808252,0.5636137869944847,0.33509116792175875,0.531495823293971,0.8540945968206581,0.5589988684381063,0.30938419810109735
3,0.6376366631720832,0.46764070318166506,0.44225888428895843,0.4597808283523337,0.5001771632728591,0.39941040603985783,0.5603402145652793,0.5269417666283328,0.5764378217101535,0.8982665862079982,0.49532582686265497,0.32414137710858687
4,0.6218344929890863,0.4530534021728938,0.6052842360680759,0.529315227936311,0.5709928541268089,0.4271493208150965,0.6253581083382448,0.48017455525940966,0.5419793955624788,0.9303606703150277,0.6103553441523044,0.34831852666169205
5,0.6106229045350273,0.43791426073810136,0.6274884334614974,0.4993573741949193,0.47929285062445853,0.4081098192630858,0.6121089329602519,0.507811991974819,0.49762033544141876,0.9226109166313403,0.5620368569990526,0.34428396929889826
