product_id,cluster
141509,5
172557,5
209222,5
237058,5
260506,2
260513,0
261323,7
262396,3
262541,7
262842,2
263056,5
263265,0
263266,5
263805,5
263806,5
264269,0
264359,3
265727,2
266114,2
266209,5
266228,2
266829,0
266830,5
266932,0
267332,5
267753,5
267755,5
267880,2
267958,0
268205,2
268448,3
268458,5
268479,5
268509,7
268515,3
268525,1
268661,2
268674,0
268684,4
268773,5
268785,5
268867,4
268897,5
268993,7
269092,5
269145,5
269416,1
269471,5
269483,1
269580,5
269840,5
269884,5
269903,4
269912,4
269934,3
269937,3
269941,5
269944,5
269945,5
269947,5
269976,2
269982,5
269984,2
269986,2
270000,5
270004,4
270023,5
270028,3
270051,4
270054,5
270059,5
270093,5
270097,7
270099,1
270103,4
270106,5
270107,5
270109,5
270111,4
270112,5
270113,5
270115,3
270120,7
270126,5
270130,7
270136,5
270138,2
270139,4
270140,2
270141,5
270142,5
270149,2
270153,2
270154,5
270156,7
270164,3
270181,6
270185,6
270337,2
270489,2
270500,5
270523,7
270525,6
270555,7
270603,2
270634,6
270635,2
270685,5
270687,5
270703,5
270714,6
270724,5
270814,7
270908,2
270924,5
271053,3
271085,6
271087,7
271096,3
271120,3
271152,3
271210,2
271219,4
271232,4
271299,0
271334,5
271368,7
271414,5
271445,0
271501,5
271507,0
271529,5
271532,7
271537,1
271540,5
271560,2
271569,1
271570,5
271572,4
271577,5
271579,5
271580,5
271583,5
271591,5
271598,3
271602,2
271603,0
271608,5
271611,2
271613,0
271615,6
271617,6
271623,5
271625,5
271634,3
271647,4
271648,5
271652,4
271653,5
271661,7
271680,6
271681,7
271700,5
271943,2
272010,5
272074,5
272079,4
272105,1
272257,5
272258,5
272275,4
272279,5
272648,7
272671,5
272672,5
272727,5
272748,5
272753,0
272756,5
272778,0
272796,4
272846,4
272894,4
273089,5
273095,5
273096,5
273101,5
273108,1
273109,4
273118,5
273123,1
273125,5
273127,0
273128,5
273129,4
273134,4
273136,5
273137,5
273138,4
273139,5
273141,5
273142,5
273144,5
273145,4
273146,5
273149,5
273157,5
273160,5
273161,5
273162,5
273163,5
273164,5
273165,5
273166,5
273167,0
273170,7
273171,5
273172,0
273173,1
273174,5
273175,5
273176,5
273177,1
273179,4
273180,3
273181,7
273182,7
273183,7
273184,4
273186,7
273187,5
273188,5
273191,7
273192,5
273193,7
273194,5
273195,5
273196,5
273197,6
273198,2
273199,5
273200,4
273201,4
273202,2
273203,5
273204,5
273205,5
273206,0
273207,0
273208,5
273210,4
273211,4
273212,2
273214,5
273215,6
273216,0
273217,5
273218,5
273219,2
273220,0
273221,5
273222,5
273223,5
273224,0
273227,5
273228,7
273229,5
273230,0
273232,5
273233,2
273234,4
273235,5
273236,5
273237,5
273238,4
273239,5
273244,5
273245,5
273246,5
273248,5
273249,5
273251,5
273252,0
273253,5
273254,5
273256,5
273258,2
273265,5
273268,5
273269,5
273270,5
273271,5
273273,5
273279,5
273281,7
273282,4
273284,5
273285,4
273288,5
273289,5
273290,5
273291,0
273292,5
273293,4
273294,5
273295,5
273296,1
273297,5
273300,5
273301,5
273302,5
273303,4
273305,5
273306,7
273307,5
273309,7
273310,5
273311,5
273312,5
273313,5
273314,5
273315,5
273318,5
273319,5
273320,5
273322,5
273326,5
273328,5
273329,5
273330,5
273331,5
273332,4
273333,5
273334,5
273335,5
273337,0
273338,5
273339,5
273340,5
273341,5
273342,5
273344,5
273346,3
273347,5
273351,5
273352,5
273353,5
273354,0
273355,5
273358,5
273359,5
273361,4
273363,4
273365,5
273368,5
273371,5
273373,0
273374,5
273376,6
273379,5
273381,7
273382,7
273383,6
273386,4
273387,4
273389,4
273394,5
273396,7
