,AP
Immune,0.5290928489935893
Energy,0.4472004675525173
Sleep/Calm,0.49749147897985924
Cognitive/Focus,0.40963776934247664
Joint/Bone,0.5680986027211904
Heart/Cardio,0.4652408616616392
Digestive/Gut,0.48287387266934745
Men’s/Women’s,0.9209169056412805
Sports/Performance,0.558687198015648
General Wellness,0.3488814104889465
