cluster,Immune,Energy,Sleep/Calm,Cognitive/Focus,Joint/Bone,Heart/Cardio,Digestive/Gut,Men’s/Women’s,Sports/Performance,General Wellness
0,0.38461538461538464,0.17751479289940827,0.08157227387996618,0.26669484361792056,0.18385460693153,0.41081994928148774,0.14623837700760778,0.7375316990701606,0.19061707523245985,0.09425190194420964
1,0.20742857142857143,0.21714285714285714,0.24628571428571427,0.09371428571428571,0.2965714285714286,0.18228571428571427,0.156,0.78,0.348,0.06514285714285714
2,0.4415481832543444,0.35624012638230645,0.06872037914691943,0.16429699842022116,0.146129541864139,0.2014218009478673,0.21011058451816747,0.7322274881516587,0.17140600315955767,0.5363349131121643
3,0.5745361484325016,0.24120281509916827,0.1126039667306462,0.04670505438259757,0.07677543186180422,0.24696097248880358,0.4504158669225848,0.5079974408189379,0.5956493921944978,0.11388355726167626
4,0.4015576323987539,0.25202492211838007,0.13146417445482866,0.12834890965732088,0.14018691588785046,0.135202492211838,0.2498442367601246,0.7654205607476635,0.2866043613707165,0.1
5,0.23186504217432052,0.13987816307403936,0.08973758200562325,0.08537956888472352,0.07347703842549204,0.12628865979381443,0.1521087160262418,0.8647141518275538,0.1407685098406748,0.05168697282099344
6,0.3090753424657534,0.4597602739726027,0.1292808219178082,0.1840753424657534,0.06592465753424658,0.1703767123287671,0.1190068493150685,0.7654109589041096,0.22003424657534246,0.20376712328767124
7,0.5304910955207771,0.13545601726929304,0.06475984889368591,0.06691851052347544,0.14786832164058283,0.11872638963842418,0.14732865623313546,0.7571505666486779,0.1365353480841878,0.08472746896923908
