label,prevalence
Men’s/Women’s,0.8217092337917485
Immune,0.3074656188605108
Energy,0.1758796213609573
Digestive/Gut,0.1736917306661904
Sports/Performance,0.1690033934631184
Heart/Cardio,0.15837649580282193
Joint/Bone,0.1219860689408823
Cognitive/Focus,0.1030541168065726
Sleep/Calm,0.10073227362028933
General Wellness,0.09256117163779247
