ingredient,label,n_co,odds_ratio,pmi
bilberry fruit extract,Digestive/Gut,1,0.10912047734201694,-2.909936254259
citicoline,Digestive/Gut,0,0.10213079410707869,-2.9905547144672853
l-citrulline malate,Digestive/Gut,1,0.09771931999779578,-3.0669056005973996
"huperzia serrata leaf, stem extract",Digestive/Gut,0,0.09586776859504133,-3.08170260252548
panax ginseng root extract,Digestive/Gut,0,0.09586776859504133,-3.08170260252548
mucuna pruriens seed extract,Digestive/Gut,0,0.09394710743801653,-3.1108489481849966
astragalus root extract,Digestive/Gut,1,0.0937973218713837,-3.125204241162067
beta-alanine,Digestive/Gut,6,0.09120047754376404,-3.1634635743484187
cannabidiol,Digestive/Gut,0,0.07336002066115703,-3.466992758410272
branched-chain amino acids,Digestive/Gut,0,0.05722031848417658,-3.8245447630283556
dehydroepiandrosterone,Digestive/Gut,0,0.05519494409333982,-3.876383694547974
nitrosigine,Digestive/Gut,0,0.04642500613697734,-4.125204241162066
alpha-glycerylphosphorylcholine,Digestive/Gut,0,0.043812466208388044,-4.208459744811419
energy blend,Energy,35,165.00194300518135,2.4951168161923407
ubiquinol,Energy,29,27.469750889679716,2.31454457055052
leucine,Energy,27,25.63014230271669,2.302471738249945
capsimax,Energy,26,20.591592562651577,2.2500043183558094
teacrine,Energy,27,18.30595084087969,2.2150088969996053
"caffeine, natural",Energy,30,17.741870247532763,2.2013856131356304
"blueberry, powder",Energy,13,15.98322039367538,2.2150088969996053
carnosyn,Energy,61,15.844444444444445,2.145532378402113
raw probiotic enzyme blend,Energy,37,15.833053567747445,2.15808182891477
l-carnitine l-tartrate,Energy,30,14.192493124089953,2.127385031691854
ionic trace minerals,Energy,25,13.215756008190537,2.1080936930830934
caffeine,Energy,249,12.721699797643138,2.04304858596853
raw organic fruit vegetable blend,Energy,23,10.975307045895281,2.0356851975550434
citicoline,Energy,31,9.766731391585761,1.9715548601353279
citrulline malate,Energy,76,9.589933698980154,1.9417243944720546
guarana seed extract,Energy,25,9.148076301325574,1.9476290208898475
maltase,Energy,26,8.822473726758286,1.928076223468447
d-ribose,Energy,22,8.762966553562773,1.931215930999014
l-alanine,Energy,44,8.255132155018648,1.8784454557438464
theobromine,Energy,84,8.167741145748327,1.8601136329715893
asian ginseng root extract,Energy,29,8.07591299217843,1.8784454557438464
l-carnitine,Energy,94,7.697400686611084,1.8265676851982096
green coffee bean extract,Energy,64,7.6647144948755495,1.8309841020375768
glutamic acid,Energy,23,7.315578539107951,1.8321518034699118
nickel,Energy,18,7.234296786694655,1.8361537340274077
caffeine anhydrous,Energy,226,7.119873015873016,1.7670764518056186
amino acid blend,Energy,22,6.57129584747132,1.7707512588057683
beta-alanine,Energy,211,6.545035087719298,1.7192115327597892
l-carnitine tartrate,Energy,17,6.325103698368148,1.7581512220261346
sulfate,Energy,17,6.325103698368148,1.7581512220261346
dicaffeine malate,Energy,18,6.2003875343129335,1.7430443296359264
"beet, powder",Energy,43,6.11219195849546,1.7066209213860526
nitrosigine,Energy,57,6.054125919579283,1.694886328568118
coenzyme q10,Energy,58,6.022417249038409,1.6912593383709638
orchard fruits garden veggies powder blend,Energy,24,6.0162224698646565,1.7127082512649674
cordyceps,Energy,22,5.840738945440836,1.6967506773619914
neurofactor,Energy,24,5.442864069823824,1.6471199096373907
panax ginseng root extract,Energy,26,5.3684931988330815,1.6352944742406013
tribulus terrestris extract,Energy,14,5.268368068916722,1.647119909637391
"pumpkin, powder",Energy,11,4.978944281524926,1.6206476982762
l-tyrosine,Energy,228,4.931871188551048,1.53342070436898
beta-nicotinamide mononucleotide,Energy,13,4.916350187405366,1.6020320201088527
pectinase,Energy,28,4.912807518824016,1.5717380977952533
"panax ginseng, powder",Energy,16,4.852340597255852,1.5825796574426805
cognizin,Energy,18,4.567899241078637,1.5335909640069763
"tongkat ali, powder",Energy,16,4.566747376916869,1.5381855380842269
astragin,Energy,65,4.459715549089795,1.4842285000496047
thiamin,Energy,34,4.449840807295883,1.495116816192341
alphasize,Energy,27,4.415242896016416,1.4951168161923407
vitamin b12,Energy,1564,4.322787002871969,1.289280636237788
n-acetyl-l-tyrosine,Energy,28,4.278291673840343,1.4704547619580717
xylanase,Energy,28,4.278291673840343,1.4704547619580717
branched-chain amino acids,Energy,39,4.260049134124102,1.4594929064616196
tongkat ali root extract,Energy,22,4.2042914848925514,1.4640899205717164
"ashwagandha, powder",Energy,29,4.157965942178171,1.447811101413984
acetyl-l-carnitine,Energy,41,4.0931135556398495,1.4280026203338037
fiber blend,Energy,16,4.085748268977529,1.453296640497714
himalayan rock salt,Energy,16,4.085748268977529,1.453296640497714
"maca, powder",Energy,30,4.051415628539071,1.4269453135507615
creatine monohydrate,Energy,115,4.031116176267441,1.3989015009330377
paba,Energy,26,3.981949044253788,1.4171143041910674
rhodiola rosea root extract,Energy,45,3.977166322927313,1.4039689281341456
l-threonine,Energy,24,3.9402696421306076,1.4110525514038663
niacin,Energy,1117,3.9362899233539883,1.2708821074891
coenzyme q-10,Energy,218,3.9268629493029223,1.366022030057334
glucoamylase,Energy,30,3.8321490880947278,1.3832239361214436
dl-methionine,Energy,14,3.804260125867355,1.4020074118008594
no3-t,Energy,36,3.763314439946019,1.3647201789366659
elevatp,Energy,31,3.7532486930545184,1.3658337992473746
"bamboo leaf, stem extract",Energy,12,3.708219067591547,1.3882016122758287
betaine anhydrous,Energy,109,3.706825810372093,1.3339620243777606
vitamin k,Energy,327,3.5970617116096384,1.284712745394958
bioflavonoids,Energy,21,3.5896607431340875,1.33983859071443
invertase,Energy,28,3.5837540597365924,1.3307299982914584
blend,Energy,17,3.5737951172944364,1.3431137227472907
l-citrulline,Energy,140,3.5694419316773374,1.2992778138972092
pantothenic acid,Energy,937,3.557072430792567,1.2105824787622854
rhodiola root extract,Energy,38,3.500452635290306,1.3047856040881918
yohimbe bark extract,Energy,12,3.4899651746486624,1.3375755392058606
bovine colostrum,Energy,15,3.4783731439638474,1.3251918147500286
l-leucine,Energy,82,3.471475400109761,1.285193746818109
chlorophyll,Energy,30,3.4577915800190198,1.299566007074534
bioperine complex,Energy,36,3.455615962984384,1.2951792456835889
l-citrulline malate,Energy,41,3.4341977309562397,1.2875213967839736
"coconut water, powder",Energy,17,3.424765902486277,1.3074898130165693
silymarin,Energy,14,3.42359206067452,1.3145445705505199
riboflavin,Energy,783,3.4017055887655863,1.1909634230329544
thiamine,Energy,757,3.3926727801445615,1.1915770111226485
sunflower lecithin,Energy,16,3.374706109415026,1.2971774385804316
sugars,Energy,13,3.3631052461744875,1.3024717382499449
eleuthero,Energy,21,3.3501130856219707,1.2821230928581424
vitamin b1,Energy,156,3.3256586314944063,1.2389907797007247
methionine,Energy,15,3.3201478960032866,1.2856634505633908
"huperzia serrata leaf, stem extract",Energy,20,3.307688023215012,1.272724394855893
taurine,Energy,203,3.3035119840213047,1.2279629438491433
vitamin b2,Energy,151,3.277408857164786,1.227344491351884
senactiv,Energy,19,3.2622739018087854,1.2624560594020657
dl-phenylalanine,Energy,14,3.260448604163305,1.2727243948558928
tribulus fruit extract,Energy,14,3.260448604163305,1.2727243948558928
vitamin b6,Energy,1435,3.2280890355592224,1.0734387357187771
chrysin,Energy,11,3.2209867172675524,1.272724394855893
green tea leaf extract,Energy,158,3.220865614293537,1.211810015332286
acetyl-l-carnitine hydrochloride,Energy,29,3.1898685606374095,1.232082410358547
medium chain triglyceride oil,Energy,31,3.1135164910831095,1.2097145973300922
vitamin b5,Energy,74,3.0492904636176044,1.1770410468005847
hemicellulase,Energy,23,3.0458952811893987,1.1974362675516559
n-acetyl l-tyrosine,Energy,13,3.042594385285576,1.2150088969996053
proprietary blend extract,Energy,5,3.039961327747341,1.272724394855893
choline,Energy,404,3.024765268163545,1.1317553516858199
vitamin b9,Energy,14,2.9767208537090175,1.1925540461719093
eleuthero root extract,Energy,27,2.976247781220855,1.1731887213049783
folate,Energy,912,2.9662965475382914,1.0616307817737238
aloe vera,Energy,12,2.9661558315857395,1.195556534333433
folic acid,Energy,103,2.940004258721339,1.140274098832243
huperzine a,Energy,70,2.936967744490949,1.145018048613817
biotin,Energy,866,2.907160472829322,1.0492117500170184
choline bitartrate,Energy,39,2.905595160941888,1.1446195691082075
cordyceps mycelium extract,Energy,13,2.904191968083546,1.1731887213049783
l-valine,Energy,54,2.8646256293649506,1.1267294102123182
digestive enzyme blend,Energy,29,2.8570850857327725,1.135220871105958
l-isoleucine,Energy,53,2.844508405102418,1.1207213014108428
"spirulina, powder",Energy,17,2.8337879816953,1.1414798615776403
bifidobacterium bifidum,Energy,12,2.824810453298919,1.1511624149749793
lactase,Energy,39,2.8159928211775265,1.116605192938611
alpha-galactosidase,Energy,18,2.7984925748633995,1.128334485520718
beet root extract,Energy,10,2.7879911842175993,1.147193512772034
chromium,Energy,678,2.786752304809789,1.0320198608536681
l-phenylalanine,Energy,24,2.7858373379272825,1.116605192938611
"flaxseed, powder",Energy,13,2.7778245436816924,1.1325467368076325
piperine,Energy,13,2.7778245436816924,1.1325467368076325
glycine,Energy,63,2.743638232021355,1.085725880054639
black pepper extract,Energy,17,2.739231514368744,1.110452965957016
ksm-66,Energy,50,2.7164912068789797,1.080079316913497
inositol,Energy,313,2.7019210800550244,1.0415447154945074
vitamin b3,Energy,103,2.645934866690546,1.045809414828751
l-lysine hydrochloride,Energy,29,2.636936017718936,1.0621574089162347
vasodrive-ap,Energy,14,2.6329737714278623,1.080079316913497
sensoril,Energy,27,2.611254851228978,1.0545442248063597
schisandra berry extract,Energy,11,2.6070967741935482,1.0800793169134972
shilajit extract,Energy,11,2.6070967741935482,1.0800793169134972
betaine,Energy,25,2.5823106875272352,1.045809414828751
black pepper,Energy,17,2.5678479173393605,1.050331973519445
l-glycine,Energy,32,2.5570946974580386,1.031716295352098
garcinia cambogia fruit extract,Energy,13,2.5554178767344307,1.0545442248063597
banaba leaf extract,Energy,21,2.5116962843295636,1.023811097266752
alpha-glycerylphosphorylcholine,Energy,37,2.4828636216391318,1.0015773432347792
maca root extract,Energy,19,2.4679621481947063,1.0096899890220992
malic acid,Energy,26,2.4671495553759093,1.002076804912224
l-arginine hydrochloride,Energy,20,2.4586931401662464,1.0047911896092598
molybdenum,Energy,371,2.4476952722555043,0.9454873885834653
salt,Energy,14,2.4447313216072293,1.009689989022099
iodine,Energy,519,2.390518800673876,0.9092298072428865
chloride,Energy,143,2.3754779169413314,0.9405279645147032
manganese,Energy,566,2.336006794465152,0.8832658019744001
enzyme blend,Energy,33,2.285529297507284,0.9243681746908854
fenugreek seed extract,Energy,21,2.2830371567043617,0.9321806218011838
medium chain triglyceride,Energy,18,2.282415630550622,0.9356894075783222
l-histidine,Energy,11,2.2809677419354837,0.9507962999685307
octacosanol,Energy,9,2.2805546597871653,0.9590639159521309
bilberry,Energy,8,2.2803482186039012,0.964602099493561
schisandra fruit extract,Energy,7,2.280141843971631,0.9715548601353279
copper,Energy,511,2.2799365608802997,0.8657601961127309
vitamin b7,Energy,5,2.279729294231389,0.9926164756631575
boron,Energy,263,2.2780573970094484,0.8884592443718655
energy,Energy,49,2.266124859808279,0.9101543154711845
lycopene,Energy,129,2.2619111141444286,0.8954328097644192
protease,Energy,50,2.2448965577516136,0.900755617468935
spirulina,Energy,39,2.230845834057822,0.8981816738051084
ashwagandha root extract,Energy,59,2.198933680104031,0.8784454557438465
amylase,Energy,48,2.1985950310677573,0.8810079698116682
carbohydrates,Energy,64,2.1904276595948287,0.8736284394460707
saturated fat,Energy,11,2.189651612903226,0.9101543154711849
ashwagandha,Energy,32,2.185727252897261,0.8812994527989993
epicor,Energy,10,2.1815205121193637,0.9101543154711846
niacinamide,Energy,15,2.147419587589716,0.8804069720771326
"broccoli, powder",Energy,7,2.145940000758524,0.9101543154711845
l-taurine,Energy,37,2.144848768431535,0.860401280274085
potassium,Energy,934,2.1257199625590757,0.7603130259811478
para-aminobenzoic acid,Energy,85,2.1111087832871553,0.8339187296440991
hesperidin complex,Energy,11,2.105359801488834,0.870625951284547
proprietary extract formula,Energy,5,2.1042911326507845,0.9101543154711849
selenium,Energy,586,2.0985505344270443,0.7801926530066717
hesperidin,Energy,30,2.0828535264615473,0.8346032824640078
sodium,Energy,1320,2.0824193888303477,0.7045531174937365
vitamin a,Energy,754,2.0806464758469643,0.756814243670541
holy basil leaf extract,Energy,19,2.07481794691097,0.8397649875797867
cellulase,Energy,39,2.0548763171117113,0.8170449110797032
lutein,Energy,150,2.049345380785543,0.7968836165148491
vanadium,Energy,103,2.0427854180309977,0.7989517531515744
lipase,Energy,53,2.0427610123497217,0.8070608225070811
lemon bioflavonoid complex,Energy,11,2.0273118279569893,0.8321518034699118
total carbohydrate,Energy,254,2.014535124817844,0.7700814321091164
alpha-lipoic acid,Energy,104,2.0023515630998237,0.7789097821929318
benfotiamine,Energy,16,1.989085490780406,0.8012199439180206
bioflavonoid complex,Energy,9,1.982880697671158,0.8170449110797032
l-theanine,Energy,146,1.9760923330585325,0.7610985060764712
total carbohydrates,Energy,1581,1.9745053499168341,0.6315492037485962
quatrefolic,Energy,8,1.95437691439626,0.8070608225070809
green tea extract,Energy,26,1.9265056588520615,0.7581512220261346
magnesium,Energy,1060,1.9189715490156458,0.6530242262465421
pureway-c,Energy,12,1.9129047869323357,0.7692917796313349
antioxidant blend,Energy,9,1.9001934859722671,0.7726507917212497
vitamin e,Energy,759,1.8978187067232648,0.6683676433414302
reishi,Energy,13,1.8783858170567356,0.7478828865723075
silicon,Energy,33,1.871487243893021,0.7245986623151082
hawthorn berry extract,Energy,10,1.8580694870003047,0.7450950692006881
l-arginine,Energy,63,1.8429432489166595,0.700700949842235
l-ornithine hydrochloride,Energy,11,1.8243870967741935,0.7225273122954133
l-lysine,Energy,40,1.8193539150394973,0.6927974840320348
l-glutamine,Energy,113,1.7874768989329015,0.6626709131719062
dmae,Energy,8,1.784304929592273,0.7108455072477777
iron,Energy,597,1.7816156005013855,0.6197706799872531
calories,Energy,2049,1.7812827078656863,0.4984635249487297
chlorella,Energy,20,1.774780595488074,0.6779808733421511
vitamin c,Energy,1298,1.762312490792263,0.5531893431387297
maca,Energy,19,1.7551182667461738,0.6672977915750211
bioperine,Energy,162,1.7511523028137344,0.6368306502458858
silica,Energy,46,1.7469388562498764,0.6488262315877938
black pepper fruit extract,Energy,29,1.7340461691558589,0.647119909637391
trans-resveratrol,Energy,38,1.730044242150675,0.6409676826557957
ginger rhizome extract,Energy,13,1.7259011189311286,0.6586155484752204
rutin,Energy,70,1.7201143498163527,0.6280556480104686
aquamin,Energy,8,1.7098984362405287,0.6650418176346531
agmatine sulfate,Energy,28,1.6975204966471342,0.6251773567567139
apple pectin,Energy,12,1.6940474270043555,0.6409676826557956
alpha lipoic acid,Energy,57,1.6899142808054002,0.6116308249187659
calcium,Energy,1193,1.6653348876511358,0.5084695791173575
phosphorus,Energy,229,1.6621844700768973,0.5773945003223158
"cayenne pepper, powder",Energy,11,1.6583577712609971,0.6206476982761998
d-aspartic acid,Energy,11,1.6583577712609971,0.6206476982761998
beet,Energy,12,1.6469323009087486,0.6105940336122765
reishi mushroom,Energy,8,1.641444462356924,0.6206476982761996
total sugars,Energy,50,1.6303944391917125,0.575085120895756
phosphatidylcholine,Energy,9,1.6285069332473396,0.6075915454507532
kaneka ubiquinol,Energy,10,1.6180896941700351,0.5969964302115545
"chlorella, powder",Energy,7,1.5857931769125109,0.5882262205838222
"pomegranate fruit juice, powder",Energy,8,1.5782561787720581,0.5775789763843134
protein,Energy,723,1.5686724338447322,0.4837042077732787
zinc,Energy,881,1.5366884462672892,0.4528060113343763
resveratrol,Energy,29,1.5215140731154966,0.5071896484929158
zeaxanthin,Energy,62,1.5162362729070196,0.4951168161923407
cayenne pepper,Energy,10,1.4751605528520069,0.4951168161923407
dehydroepiandrosterone,Energy,20,1.4738590758296783,0.47804330283339913
pomegranate extract,Energy,8,1.4654199580847977,0.49511681619234094
reishi mushroom fruiting body extract,Energy,8,1.4654199580847977,0.49511681619234094
conjugated linoleic acid,Energy,10,1.4329624254152555,0.46269533849996336
kelp,Energy,16,1.4096441411695648,0.43283253793799836
hydroprime,Energy,7,1.4026682537320836,0.4507226968338873
norwegian fish oil,Energy,7,1.4026682537320836,0.4507226968338873
ginkgo leaf extract,Energy,18,1.3977122974430027,0.42111623474856397
lactobacillus acidophilus,Energy,29,1.3969126958450802,0.4133227250286935
vitamin d,Energy,522,1.3892323131450293,0.37159874317398495
lion s mane,Energy,13,1.3877828752613044,0.4198286888881036
acerola,Energy,6,1.3873454086816381,0.4444907431223726
n-acetyl cysteine,Energy,32,1.3566745253102268,0.3796395987724047
msm,Energy,8,1.3234647127040506,0.3796395987724045
broccoli,Energy,7,1.3023855577047065,0.36583379924737447
l-cysteine hydrochloride,Energy,5,1.3022881082823075,0.379639598772405
licorice root extract,Energy,24,1.295788824073938,0.3316180839094614
milk thistle,Energy,12,1.2884476458334795,0.3375755392058606
proprietary blend,Energy,397,1.280074085085816,0.290963513140935
mixed tocopherols,Energy,20,1.2768922629623647,0.3175786306401532
soy isoflavones,Energy,6,1.2762675261885577,0.3482754278630696
astaxanthin,Energy,30,1.2740394495773883,0.3097617741804226
"turmeric, powder",Energy,16,1.2707207028407361,0.31579311674777877
total fat,Energy,791,1.2603755782542525,0.2587401654201916
vitamin k2,Energy,116,1.2593971915263233,0.28599675194893026
omega-3 fatty acids,Energy,15,1.25776362948287,0.30529225731232346
n-acetyl-l-cysteine,Energy,21,1.254071082390953,0.2963369520778432
myo-inositol,Energy,10,1.2536203838090632,0.31069224505491344
gotu kola,Energy,13,1.251504280318129,0.302471738249945
dandelion root extract,Energy,14,1.243402232751918,0.29348295502269023
cayenne,Energy,8,1.243166796125042,0.3074898130165693
strontium,Energy,8,1.243166796125042,0.3074898130165693
grape seed extract,Energy,71,1.236207783301903,0.26843703645279465
bladderwrack,Energy,7,1.2154738878143134,0.2856634505633909
citrus bioflavonoid complex,Energy,40,1.1989828353464718,0.23795897669521626
trimethylglycine,Energy,11,1.1891444600280505,0.2471893027487552
gymnema leaf extract,Energy,6,1.1816456262870445,0.25807761889149133
white willow bark extract,Energy,6,1.1816456262870445,0.25807761889149133
cranberry,Energy,8,1.1720457842979204,0.23877706293255513
vitamin d3,Energy,383,1.16769617936399,0.19209718385504304
floraglo,Energy,15,1.1577361738756187,0.20971459733009232
citrus bioflavonoids,Energy,19,1.1541638046642462,0.20233506696449502
cholesterol,Energy,366,1.1471655153177065,0.1731887213049786
lecithin,Energy,14,1.1395836695175086,0.1925540461719093
green tea,Energy,7,1.1394261766602192,0.20971459733009232
ginkgo biloba extract,Energy,5,1.1393812439574604,0.22209832178592484
mucuna pruriens seed extract,Energy,9,1.1116398329413801,0.1731887213049786
metafolin,Energy,5,1.0937673219465034,0.1731887213049786
vitamin d2,Energy,5,1.0937673219465034,0.1731887213049786
fat,Energy,11,1.0723719165085388,0.1258830065266219
pregnenolone,Energy,7,1.0723252550536655,0.13756481157425723
vitamin k1,Energy,22,1.069755095445837,0.11178817664083537
stinging nettle root extract,Energy,10,1.066646765964309,0.12165842066489628
dietary fiber,Energy,17,1.0654592420817801,0.11045296595701588
apple cider vinegar,Energy,19,1.059957334294814,0.10279939341358055
stevia leaf extract,Energy,22,1.0589119503322122,0.09981553497475916
probiotic blend,Energy,42,1.0538697650583824,0.08849155672969666
irish moss,Energy,6,1.029029658703959,0.09301837262099474
ginkgo biloba leaf extract,Energy,21,1.0230786983614124,0.05973067152169464
bilberry extract,Energy,5,1.012675905038135,0.08007931691349726
nettle root extract,Energy,5,1.012675905038135,0.08007931691349726
total omega-3 fatty acids,Energy,24,1.0082159137557911,0.04094092300653846
turmeric,Energy,39,1.0071146471500234,0.035685197555043534
"alfalfa, powder",Energy,4,0.9906417018653554,0.062157408916234676
licorice,Energy,9,0.9906341572844665,0.035685197555043534
rhodiola,Energy,9,0.9906341572844665,0.035685197555043534
saw palmetto,Energy,12,0.9873205355702532,0.025631532891120554
diindolylmethane,Energy,18,0.9838453972960675,0.01512387507272712
docosahexaenoic acid,Energy,17,0.9764288020665159,0.006830334882858204
american ginseng root extract,Energy,6,0.9665958537836056,0.01706951938769635
rose hip,Energy,13,0.9665581272551262,-0.0013090099271580583
alfalfa,Energy,7,0.9593131765584173,0.0032637198626662913
"ginger, powder",Energy,9,0.949290551435021,-0.015845103085038625
suntheanine,Energy,10,0.9456934821833363,-0.02273148867027841
phosphatidylserine,Energy,21,0.9280201041105726,-0.056678820593615994
papain,Energy,29,0.9233432720977205,-0.06559813828213817
fish oil,Energy,33,0.9218193590158628,-0.06847203373624852
total calories,Energy,5,0.9113116339026748,-0.049203700031469344
cinnamon bark extract,Energy,8,0.9112687409318072,-0.062878636928546
chromemate,Energy,5,0.8818832971214121,-0.08984568452881514
lithium,Energy,5,0.8818832971214121,-0.08984568452881514
hydromax,Energy,4,0.8762439429428313,-0.0898456845288153
"beet root juice, powder",Energy,9,0.8761441718552329,-0.113692426483183
artichoke leaf extract,Energy,12,0.8709184593340482,-0.12637156055392962
l-carnosine,Energy,7,0.8678272082527402,-0.11959302792286736
turmeric extract,Energy,7,0.8678272082527402,-0.11959302792286736
collagen peptides,Energy,14,0.8435085077008588,-0.16784819653008862
caprylic acid,Energy,6,0.8392637516434115,-0.1569598803873525
soy lecithin,Energy,7,0.8283219037571069,-0.17730852577915485
l-tryptophan,Energy,14,0.823124675562019,-0.1979054303862683
quercetin,Energy,56,0.8203395407664861,-0.21115198075094876
flaxseed oil,Energy,14,0.8132967564950783,-0.21270243231434888
turmeric rhizome extract,Energy,14,0.8132967564950783,-0.21270243231434888
pine bark extract,Energy,13,0.8071325580730411,-0.22109021780706795
serrapeptase,Energy,5,0.8039847585827756,-0.2053229019487515
5-hydroxytryptophan,Energy,13,0.7970151661826396,-0.23668707285808643
bilberry fruit extract,Energy,12,0.7894370059687046,-0.2473869615152953
hawthorn,Energy,8,0.7884026339612347,-0.24184877797386542
astragalus root extract,Energy,14,0.7851685743379722,-0.25620407095093556
astragalus,Energy,7,0.7753679849650877,-0.25977068597112746
5-htp,Energy,9,0.7720035636399412,-0.2704179301706365
betaine hydrochloride,Energy,26,0.7631858282661418,-0.2968901415318275
red clover,Energy,3,0.7593427835051546,-0.25977068597112746
curcumin,Energy,4,0.7593040115998066,-0.2704179301706365
marshmallow root extract,Energy,4,0.7593040115998066,-0.2704179301706365
rosemary leaf extract,Energy,7,0.7591876208897486,-0.28624289733231884
ginger,Energy,28,0.7540093805595989,-0.31223810586526335
cinnamon,Energy,8,0.7453197133351898,-0.31223810586526335
fruit blend,Energy,6,0.7415437662800067,-0.31223810586526335
burdock,Energy,9,0.7345705339588686,-0.33270220842497894
magnolia bark extract,Energy,3,0.7289432989690722,-0.3122381058652632
"psyllium, powder",Energy,3,0.7289432989690722,-0.3122381058652632
pomegranate fruit extract,Energy,5,0.719253014909171,-0.34618543778860084
bromelain,Energy,59,0.7187057172560739,-0.37277964780031403
black cohosh root extract,Energy,6,0.708536126779479,-0.3699536037215509
burdock root extract,Energy,3,0.7008822363203806,-0.36286417893523126
l-glutamic acid,Energy,5,0.7007858400059496,-0.3793523017238002
sugar,Energy,7,0.7006893815404454,-0.3875262331695004
n-acetyl l-cysteine,Energy,6,0.6931086430998844,-0.39796797989114735
ginkgo biloba,Energy,4,0.6902031430789285,-0.3924084545492468
peppermint,Energy,3,0.6748997709049256,-0.41177377941617777
quercetin dihydrate,Energy,12,0.6725058293859714,-0.44829965544129174
milk thistle extract,Energy,4,0.6698793582198467,-0.4308826023638822
whey protein isolate,Energy,3,0.6507731958762887,-0.4590794941945344
"apple cider vinegar, powder",Energy,11,0.6503225806451612,-0.48977629141745077
ginger root extract,Energy,20,0.645400690627633,-0.5048831838076593
saw palmetto berry extract,Energy,13,0.643619153783723,-0.5048831838076593
l-glutathione,Energy,7,0.6391122874885473,-0.5048831838076591
mullein,Energy,3,0.6283105225737646,-0.5048831838076591
saw palmetto fruit extract,Energy,3,0.6283105225737646,-0.5048831838076591
proprietary formula,Energy,6,0.6250462151016732,-0.5304182759147968
beta-sitosterol,Energy,5,0.6210412211056748,-0.534630527201711
hyaluronic acid,Energy,29,0.6139445819161121,-0.5695361421499128
olive leaf extract,Energy,20,0.6121292695351813,-0.5719973796661962
l-cysteine,Energy,8,0.6115697507946324,-0.5637768728612277
cat s claw,Energy,3,0.6073453608247422,-0.5492773031661127
turmeric root extract,Energy,29,0.6029924158919845,-0.5923460250579985
l-methionine,Energy,13,0.5953292138253823,-0.6044188573585736
pumpkin seed extract,Energy,2,0.594193561940241,-0.5637768728612275
lemon balm leaf extract,Energy,6,0.5902587519025875,-0.6044188573585736
passionflower extract,Energy,3,0.587732790156302,-0.5923460250579987
red yeast rice,Energy,3,0.587732790156302,-0.5923460250579987
milk thistle seed extract,Energy,22,0.5839943096013742,-0.632372918929575
nattokinase,Energy,4,0.5838941145852697,-0.6092198436223947
cranberry fruit extract,Energy,6,0.5795062632774156,-0.6282655993129413
chasteberry fruit extract,Energy,2,0.5694153647930423,-0.6203604012275951
"cranberry, powder",Energy,2,0.5694153647930423,-0.6203604012275951
saccharomyces boulardii,Energy,4,0.5692766231673917,-0.6423867075575942
bovine collagen peptides,Energy,4,0.5553721801113612,-0.6748081852499714
bacillus coagulans,Energy,8,0.5535813098282871,-0.6925101869834307
hemp extract,Energy,3,0.5520735707591378,-0.6748081852499714
wild yam,Energy,3,0.5520735707591378,-0.6748081852499714
elderberry extract,Energy,2,0.5466194234176196,-0.6748081852499712
juniper,Energy,2,0.5466194234176196,-0.6748081852499712
collagen,Energy,6,0.5401412201750911,-0.7198960747785095
dong quai root extract,Energy,3,0.5358171619163129,-0.7143365494366091
chamomile flower extract,Energy,7,0.5355178822012364,-0.73370187430354
black cumin seed oil,Energy,2,0.5255770159941524,-0.7272756051441069
senna leaf extract,Energy,2,0.5255770159941524,-0.7272756051441069
berberine hydrochloride,Energy,10,0.5213070472504435,-0.773372019733561
calories from fat,Energy,4,0.517450971776733,-0.7679175896414533
l-proline,Energy,4,0.517450971776733,-0.7679175896414533
psyllium,Energy,4,0.517450971776733,-0.7679175896414533
pancreatin,Energy,6,0.5139507681110447,-0.7849911030003947
phytosterols,Energy,1,0.5061728395061729,-0.7528106972512445
bitter melon fruit extract,Energy,4,0.5059341603565867,-0.797664933035505
rose hips,Energy,5,0.5058545493608336,-0.8025637324483441
dandelion,Energy,7,0.4919929600780665,-0.844733186692284
buchu leaf extract,Energy,2,0.4880012884522467,-0.8268112786950215
l-5-hydroxytryptophan,Energy,2,0.4880012884522467,-0.8268112786950215
saw palmetto extract,Energy,2,0.4880012884522467,-0.8268112786950215
curcumin c3 complex,Energy,2,0.4711569967955304,-0.8741169934733781
"glutathione, reduced",Energy,2,0.4711569967955304,-0.8741169934733781
horse chestnut seed extract,Energy,2,0.4711569967955304,-0.8741169934733781
gamma aminobutyric acid,Energy,2,0.4554356579159285,-0.9199206830865028
parsley,Energy,3,0.4553479381443299,-0.931147938509757
"pomegranate juice, powder",Energy,3,0.4553479381443299,-0.931147938509757
proprietary herbal blend,Energy,6,0.4550846091861402,-0.9454557751936403
reishi mushroom extract,Energy,3,0.44422617550917776,-0.9643148024449565
multi collagen complex,Energy,2,0.4407285989640428,-0.9643148024449565
fish oil concentrate,Energy,10,0.4387153175633811,-0.9996478755572372
lemon balm extract,Energy,3,0.4336340206185567,-0.9967362801373337
marshmallow,Energy,3,0.42353452409494124,-1.0284451398646721
hops flower extract,Energy,1,0.41408285756111846,-1.0284451398646721
eicosapentaenoic acid,Energy,3,0.4138940955951265,-1.0594720354852964
inulin,Energy,7,0.4088554683821239,-1.0898456845288156
gamma-aminobutyric acid,Energy,9,0.4059174459851661,-1.1018183261948915
