ingredient,label,n_co,odds_ratio,pmi
green coffee bean extract,Cognitive/Focus,24,2.6871679222492966,1.2194015825758113
astaxanthin,Cognitive/Focus,33,2.677362045484799,1.2099574088358513
vitamin b9,Cognitive/Focus,8,2.6279611429869907,1.2225175557976677
krill oil,Cognitive/Focus,11,2.6068023759697296,1.2031522309307368
reishi mushroom,Cognitive/Focus,7,2.605038113135835,1.2176518006258517
black pepper extract,Cognitive/Focus,10,2.5182061182061184,1.1668886869439652
ubiquinol,Cognitive/Focus,7,2.508473887008062,1.174583078733966
vitamin b12,Cognitive/Focus,743,2.4997078963026476,0.9834216093178032
resveratrol,Cognitive/Focus,26,2.4654988250373853,1.1221156588398302
rhodiola root extract,Cognitive/Focus,19,2.423496085297242,1.1082405839052698
l-threonine,Cognitive/Focus,11,2.4203666627409413,1.1190879661422624
creatine monohydrate,Cognitive/Focus,54,2.418387268786624,1.0892093231220896
cat s claw bark extract,Cognitive/Focus,6,2.370010976948408,1.115204531655034
"pumpkin, powder",Cognitive/Focus,4,2.350444932041202,1.1245423962343701
saturated fat,Cognitive/Focus,7,2.335324240158263,1.0921209185419931
total fat,Cognitive/Focus,729,2.3190526237427984,0.9080653028999262
choline bitartrate,Cognitive/Focus,21,2.304263664785388,1.0490521966501067
lutein,Cognitive/Focus,101,2.251954096921469,0.9978333229532302
zeaxanthin,Cognitive/Focus,51,2.204504015073286,0.985205714625481
l-taurine,Cognitive/Focus,23,2.1435026772887555,0.9643653713436202
vitamin b6,Cognitive/Focus,710,2.137907659078933,0.8262335553071057
green tea leaf extract,Cognitive/Focus,76,2.116901811403185,0.9326427045347964
american ginseng root extract,Cognitive/Focus,7,2.1161817183639857,0.9766437011220568
holy basil,Cognitive/Focus,4,2.11526330224904,0.9990115141505113
ksm-66,Cognitive/Focus,26,2.083315773630343,0.9294705808974343
silicon,Cognitive/Focus,22,2.075538365901147,0.927626880913746
l-glycine,Cognitive/Focus,17,2.061843015600241,0.9241762812279212
total calories,Cognitive/Focus,6,2.0428479503387713,0.9401178250969427
l-5-hydroxytryptophan,Cognitive/Focus,5,2.030880658436214,0.940117825096943
l-carnitine tartrate,Cognitive/Focus,5,2.030880658436214,0.940117825096943
niacin,Cognitive/Focus,475,2.015693794008084,0.805924501745818
asian ginseng root extract,Cognitive/Focus,8,2.004964016301049,0.9084089653696046
lithium,Cognitive/Focus,6,1.9746889864617636,0.8994758405995971
piperine,Cognitive/Focus,6,1.9746889864617636,0.8994758405995971
stevia leaf extract,Cognitive/Focus,22,1.9703930150457163,0.8667446387667237
green tea extract,Cognitive/Focus,16,1.9467603266447515,0.8576556649049699
bioperine complex,Cognitive/Focus,15,1.9366633916290037,0.8526549838466032
